Template,R1,C2,N1,C1,C4,N2,X2,C5,R2,X1,Ni,C1s,Br,C2s,H1s
L0042,66,52,54,50,51,55,57,53,82,56,49,1,48,16,17
L0049,94,55,57,51,50,56,58,54,86,59,49,1,48,16,17
L0055,53,55,57,51,52,58,70,56,54,69,49,1,48,16,17
L0056,67,53,55,51,52,56,58,54,77,57,49,1,48,16,17
L0057,75,53,55,51,52,56,58,54,89,57,49,1,48,16,17
L0058,53,57,61,51,52,62,72,58,54,71,49,1,48,16,17
L0059,62,52,50,55,57,51,58,60,77,54,49,1,48,16,17
L0060,53,57,61,51,52,62,72,58,54,71,49,1,48,16,17
L0061,83,52,54,50,51,55,57,53,69,56,49,1,48,16,17
L0062,73,53,55,51,52,56,58,54,87,57,49,1,48,16,17
L0063,51,58,70,56,55,65,71,57,53,72,49,1,48,16,17
L0064,71,53,58,52,50,57,54,51,67,59,49,1,48,16,17
L0065,111,54,56,50,51,57,53,55,102,52,49,1,48,16,17
L0066,149,54,56,50,51,57,53,55,136,52,49,1,48,16,17
L0067,80,54,56,52,51,55,57,53,67,58,49,1,48,16,17
L0068,73,53,57,51,52,58,60,54,84,59,49,1,48,16,17
