Template,R1,C2,N1,C1,C4,N2,X2,C5,R2,X1,Ni,C1s,Br,C2s,H1s
L0001,67,54,55,51,52,56,57,53,81,58,50,1,49,17,18
L0079,64,57,55,52,51,54,60,53,69,56,50,1,49,17,18
L0090,64,57,55,52,51,54,60,53,69,56,50,1,49,17,18
L0091,64,57,55,52,51,54,60,53,69,56,50,1,49,17,18
L0104,72,54,59,53,51,58,55,52,68,60,50,1,49,17,18
L0107,89,55,57,53,52,56,58,54,76,59,50,1,49,17,18
L0113,69,53,58,52,51,59,54,57,66,60,50,1,49,17,18
L0114,69,53,58,52,51,59,54,57,66,60,50,1,49,17,18
L0115,69,53,58,52,51,59,54,57,66,60,50,1,49,17,18
L0116,60,55,51,54,53,52,65,68,80,57,50,1,49,17,18
L0117,73,54,59,53,51,58,55,57,65,60,50,1,49,17,18
L0118,84,55,59,51,52,60,56,58,65,54,50,1,49,17,18
L0119,84,55,59,51,52,60,56,58,65,54,50,1,49,17,18
L0120,87,55,59,51,52,60,56,58,65,54,50,1,49,17,18
L0121,88,55,59,51,52,60,56,58,65,54,50,1,49,17,18
L0122,84,55,59,51,52,60,56,58,65,54,50,1,49,17,18
L0123,84,55,59,51,52,60,56,58,65,54,50,1,49,17,18
