Outer-Fold Champion Models Sorted by Count:
Features                                                                                                                                                                      Count  Average Train RMSE  Average Test RMSE  Average Adjusted R²  Average OOS R²  Average OOS MAE
                                       angle_N1_Ni_N2(°)_TSRC_max, Sterimol_B5_C2_R1(Å)_morfeus_TSRC_max, Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, %Vbur_Br_4.0Å_IntC_Boltz 1      0.196515            0.295758           0.827408             0.879061        0.235973        
                                              distance_C1s_C2s(Å)_TSRC_min, angle_N1_Ni_N2(°)_TSRC_max, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max, Vbur_N2_3.5noH_TSRE_Boltz 1      0.193750            0.304827           0.812001             0.688755        0.243429        
                                   distance_C1s_C2s(Å)_TSRC_min, Sterimol_B5_C5_R2(Å)_morfeus_IntC_min, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max, Vbur_N2_3.5noH_TSRE_Boltz 1      0.196887            0.348335           0.795284             0.725447        0.247144        
                                     angle_N1_Ni_N2(°)_TSRC_max, Sterimol_B5_C2_R1(Å)_morfeus_TSRC_max, Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, distance_Br_Ni(Å)_IntC_max 1      0.171206            0.363236           0.849307             0.820088        0.217877        
                             angle_N1_Ni_N2(°)_TSRC_max, Sterimol_L_N1_Ni(Å)_morfeus_TSRC_max, Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, dihedral_C4_N2_Ni_C1s(°)_TSRE_Boltz 1      0.161699            0.384602           0.870348             0.854929        0.224715        
                                      angle_N1_Ni_N2(°)_TSRC_max, angle_N1_Ni_C1s(°)_IntC_max, dihedral_N2_Ni_C2s_H1s(°)_IntC_max, Buried_Sterimol_L_C5_R2_4.5(Å)_TSRE_Boltz 1      0.161224            0.389785           0.855265             0.008601        0.422048        
                                              distance_C1s_C2s(Å)_TSRC_min, distance_Br_Ni(Å)_IntC_min, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max, Vbur_N2_3.5noH_TSRE_Boltz 1      0.160326            0.394461           0.870359             0.810796        0.248695        
                                               angle_N1_Ni_N2(°)_TSRC_max, Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, distance_Br_Ni(Å)_IntC_max, angle_N1_Ni_C1s(°)_IntC_max 1      0.157488            0.424987           0.847693             0.851784        0.342407        
                                    angle_N1_Ni_N2(°)_TSRC_max, distance_Br_Ni(Å)_IntC_max, Sterimol_B5_C5_R2(Å)_morfeus_IntC_min, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max 1      0.130016            0.436175           0.907026             0.327610        0.321762        
                           angle_N1_Ni_N2(°)_TSRC_max, Buried_Sterimol_L_C2_R1_4.5(Å)_TSRC_min, dihedral_N2_Ni_C2s_H1s(°)_IntC_max, Sterimol_B5_Ni_C1s(Å)_morfeus_IntC_Boltz 1      0.207925            0.450039           0.794995             0.953261        0.229177        
                                                      angle_N1_Ni_C1s(°)_TSRC_max, P_int_N1_TSRC_Boltz, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max, Vbur_N2_3.5noH_TSRE_Boltz 1      0.181320            0.470733           0.848816             0.967908        0.145061        
                                     %Vbur_Br_4.0Å_IntC_Boltz, Buried_Sterimol_B5_N1_Ni_4.5(Å)_IntC_max, Buried_Sterimol_L_Ni_C1s_4.5(Å)_IntC_max, Vbur_N1_3.5noH_IntC_Boltz 1      0.138840            0.507604           0.904490             0.630175        0.263902        
                                             angle_N1_Ni_C1s(°)_TSRC_max, angle_N1_Ni_N2(°)_TSRC_max, pyramidalization_Gavrish_N2(°)_IntC_Boltz, Hirsh_charge_H1s_IntC_Boltz 1      0.175234            0.552655           0.839907             0.778466        0.206604        
                                         Sterimol_L_Ni_C2s(Å)_morfeus_TSRC_max, distance_Br_Ni(Å)_IntC_min, Sterimol_B5_N1_Ni(Å)_morfeus_IntC_min, Vbur_N2_3.5noH_TSRE_Boltz 1      0.125091            0.575988           0.917348             0.302467        0.309488        
                               angle_N1_Ni_C1s(°)_IntC_max, dihedral_N2_Ni_C2s_H1s(°)_IntC_max, Sterimol_B5_C5_R2(Å)_morfeus_IntC_min, Sterimol_B5_N2_Ni(Å)_morfeus_IntC_min 1      0.135424            0.611226           0.908521             0.997890        0.093048        
                                   distance_C1s_C2s(Å)_TSRC_min, Spin_Density_R1_TSRC_Boltz, Sterimol_B5_N1_Ni(Å)_morfeus_IntC_min, Buried_Sterimol_L_Ni_C1s_4.5(Å)_IntC_max 1      0.122536            0.656757           0.918228             0.437226        0.238011        
                                                             LUMO_IntC_Boltz, %Vbur_C2s_2.5Å_IntC_Boltz, %Vbur_Br_4.0Å_IntC_Boltz, Buried_Sterimol_B5_Ni_C2s_4.5(Å)_IntC_min 1      0.139006            0.665379           0.914748             0.926114        0.157614        
angle_N1_Ni_N2(°)_TSRC_max, Sterimol_B5_Ni_C2s(Å)_morfeus_TSRC_min, pyramidalization_Agranat-Radhakrishnan_N1_TSRC_max, pyramidalization_Agranat-Radhakrishnan_N2_TSRC_Boltz 1      0.171062            0.766849           0.846755             0.129680        0.448728        
                       Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, Sterimol_B5_C5_R2(Å)_morfeus_IntC_min, Buried_Sterimol_L_Ni_C1s_4.5(Å)_IntC_max, Spin_Density_C1_IntC_Boltz 1      0.174084            0.794316           0.858172             0.598064        0.316795        
                                                      angle_C2s_Ni_Br(°)_TSRC_max, Sterimol_L_C5_R2(Å)_morfeus_TSRC_max, Vbur_Ni_3.5noH_TSRC_min, Vbur_C1s_3.5noH_IntC_Boltz 1      0.177752            0.998411           0.832365             0.001200        0.708497        

Outer-Fold Champion Models Sorted by OOS MAE:
Features                                                                                                                                                                      Count  Average Train RMSE  Average Test RMSE  Average Adjusted R²  Average OOS R²  Average OOS MAE
                               angle_N1_Ni_C1s(°)_IntC_max, dihedral_N2_Ni_C2s_H1s(°)_IntC_max, Sterimol_B5_C5_R2(Å)_morfeus_IntC_min, Sterimol_B5_N2_Ni(Å)_morfeus_IntC_min 1      0.135424            0.611226           0.908521             0.997890        0.093048        
                                                      angle_N1_Ni_C1s(°)_TSRC_max, P_int_N1_TSRC_Boltz, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max, Vbur_N2_3.5noH_TSRE_Boltz 1      0.181320            0.470733           0.848816             0.967908        0.145061        
                                                             LUMO_IntC_Boltz, %Vbur_C2s_2.5Å_IntC_Boltz, %Vbur_Br_4.0Å_IntC_Boltz, Buried_Sterimol_B5_Ni_C2s_4.5(Å)_IntC_min 1      0.139006            0.665379           0.914748             0.926114        0.157614        
                                             angle_N1_Ni_C1s(°)_TSRC_max, angle_N1_Ni_N2(°)_TSRC_max, pyramidalization_Gavrish_N2(°)_IntC_Boltz, Hirsh_charge_H1s_IntC_Boltz 1      0.175234            0.552655           0.839907             0.778466        0.206604        
                                     angle_N1_Ni_N2(°)_TSRC_max, Sterimol_B5_C2_R1(Å)_morfeus_TSRC_max, Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, distance_Br_Ni(Å)_IntC_max 1      0.171206            0.363236           0.849307             0.820088        0.217877        
                             angle_N1_Ni_N2(°)_TSRC_max, Sterimol_L_N1_Ni(Å)_morfeus_TSRC_max, Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, dihedral_C4_N2_Ni_C1s(°)_TSRE_Boltz 1      0.161699            0.384602           0.870348             0.854929        0.224715        
                           angle_N1_Ni_N2(°)_TSRC_max, Buried_Sterimol_L_C2_R1_4.5(Å)_TSRC_min, dihedral_N2_Ni_C2s_H1s(°)_IntC_max, Sterimol_B5_Ni_C1s(Å)_morfeus_IntC_Boltz 1      0.207925            0.450039           0.794995             0.953261        0.229177        
                                       angle_N1_Ni_N2(°)_TSRC_max, Sterimol_B5_C2_R1(Å)_morfeus_TSRC_max, Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, %Vbur_Br_4.0Å_IntC_Boltz 1      0.196515            0.295758           0.827408             0.879061        0.235973        
                                   distance_C1s_C2s(Å)_TSRC_min, Spin_Density_R1_TSRC_Boltz, Sterimol_B5_N1_Ni(Å)_morfeus_IntC_min, Buried_Sterimol_L_Ni_C1s_4.5(Å)_IntC_max 1      0.122536            0.656757           0.918228             0.437226        0.238011        
                                              distance_C1s_C2s(Å)_TSRC_min, angle_N1_Ni_N2(°)_TSRC_max, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max, Vbur_N2_3.5noH_TSRE_Boltz 1      0.193750            0.304827           0.812001             0.688755        0.243429        
                                   distance_C1s_C2s(Å)_TSRC_min, Sterimol_B5_C5_R2(Å)_morfeus_IntC_min, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max, Vbur_N2_3.5noH_TSRE_Boltz 1      0.196887            0.348335           0.795284             0.725447        0.247144        
                                              distance_C1s_C2s(Å)_TSRC_min, distance_Br_Ni(Å)_IntC_min, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max, Vbur_N2_3.5noH_TSRE_Boltz 1      0.160326            0.394461           0.870359             0.810796        0.248695        
                                     %Vbur_Br_4.0Å_IntC_Boltz, Buried_Sterimol_B5_N1_Ni_4.5(Å)_IntC_max, Buried_Sterimol_L_Ni_C1s_4.5(Å)_IntC_max, Vbur_N1_3.5noH_IntC_Boltz 1      0.138840            0.507604           0.904490             0.630175        0.263902        
                                         Sterimol_L_Ni_C2s(Å)_morfeus_TSRC_max, distance_Br_Ni(Å)_IntC_min, Sterimol_B5_N1_Ni(Å)_morfeus_IntC_min, Vbur_N2_3.5noH_TSRE_Boltz 1      0.125091            0.575988           0.917348             0.302467        0.309488        
                       Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, Sterimol_B5_C5_R2(Å)_morfeus_IntC_min, Buried_Sterimol_L_Ni_C1s_4.5(Å)_IntC_max, Spin_Density_C1_IntC_Boltz 1      0.174084            0.794316           0.858172             0.598064        0.316795        
                                    angle_N1_Ni_N2(°)_TSRC_max, distance_Br_Ni(Å)_IntC_max, Sterimol_B5_C5_R2(Å)_morfeus_IntC_min, Buried_Sterimol_B1_Ni_C2s_4.5(Å)_TSRE_max 1      0.130016            0.436175           0.907026             0.327610        0.321762        
                                               angle_N1_Ni_N2(°)_TSRC_max, Buried_Sterimol_B5_N1_Ni_4.5(Å)_TSRC_min, distance_Br_Ni(Å)_IntC_max, angle_N1_Ni_C1s(°)_IntC_max 1      0.157488            0.424987           0.847693             0.851784        0.342407        
                                      angle_N1_Ni_N2(°)_TSRC_max, angle_N1_Ni_C1s(°)_IntC_max, dihedral_N2_Ni_C2s_H1s(°)_IntC_max, Buried_Sterimol_L_C5_R2_4.5(Å)_TSRE_Boltz 1      0.161224            0.389785           0.855265             0.008601        0.422048        
angle_N1_Ni_N2(°)_TSRC_max, Sterimol_B5_Ni_C2s(Å)_morfeus_TSRC_min, pyramidalization_Agranat-Radhakrishnan_N1_TSRC_max, pyramidalization_Agranat-Radhakrishnan_N2_TSRC_Boltz 1      0.171062            0.766849           0.846755             0.129680        0.448728        
                                                      angle_C2s_Ni_Br(°)_TSRC_max, Sterimol_L_C5_R2(Å)_morfeus_TSRC_max, Vbur_Ni_3.5noH_TSRC_min, Vbur_C1s_3.5noH_IntC_Boltz 1      0.177752            0.998411           0.832365             0.001200        0.708497        
