Outer-Fold Champion Models Sorted by Count:
Features                                                                                                                                                                   Count  Average Train RMSE  Average Test RMSE  Average Adjusted R²  Average OOS R²  Average OOS MAE
                        pyramidalization_Gavrish_C4(°)_TSRC_max, P_int_N2_TSRC_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz, pyramidalization_Gavrish_N2(°)_TSRE_max 1      0.278001            0.246926           0.596065             0.378642        0.398228        
                                  pyramidalization_Gavrish_C4(°)_TSRC_max, P_int_N2_TSRC_Boltz, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.240130            0.358937           0.655969             0.547713        0.357175        
                dihedral_N1_Ni_C2s_H1s(°)_TSRC_Boltz, Buried_Sterimol_L_Ni_C2s_4.5(Å)_TSRC_max, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.234415            0.390261           0.673674             0.263808        0.408908        
                                     pyramidalization_Gavrish_C4(°)_TSRC_max, Spin_Density_R2_TSRC_Boltz, P_int_N2_TSRC_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.251771            0.394759           0.598795             0.480604        0.308581        
                                  P_int_N2_TSRC_Boltz, Buried_Sterimol_L_N1_Ni_4.5(Å)_IntC_max, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.239359            0.400360           0.580124             0.340034        0.271989        
                     dihedral_N1_Ni_C2s_H1s(°)_TSRC_Boltz, dihedral_C4_N2_Ni_C1s(°)_IntC_Boltz, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.229263            0.405351           0.717682             0.526442        0.285954        
               dihedral_C4_N2_Ni_C1s(°)_IntC_Boltz, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz, Buried_Sterimol_B5_C2_R1_4.5(Å)_TSRE_Boltz 1      0.236455            0.408069           0.621419             0.311546        0.416533        
                                    P_int_N2_TSRC_Boltz, dihedral_C4_N2_Ni_C1s(°)_IntC_Boltz, Buried_Sterimol_B5_C2_R1_4.5(Å)_TSRE_Boltz, Hirsh_atom_dipole_C5_TSRE_Boltz 1      0.229380            0.445309           0.634177             0.042326        0.492911        
                                dihedral_N1_Ni_C2s_H1s(°)_TSRC_Boltz, Vbur_C2s_3.5noH_IntC_max, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.253402            0.459376           0.636253             0.315274        0.380702        
                                            P_int_N2_TSRC_Boltz, dihedral_C4_N2_Ni_C1s(°)_IntC_Boltz, distance_N1_Ni(Å)_TSRE_min, pyramidalization_Gavrish_N2(°)_TSRE_max 1      0.250945            0.480675           0.548491             0.055242        0.300730        
                       pyramidalization_Gavrish_N2(°)_TSRC_max, Buried_Sterimol_B5_N1_Ni_4.5(Å)_IntC_Boltz, dihedral_C1_N1_Ni_C1s(°)_TSRE_min, Spin_Density_Br_TSRE_Boltz 1      0.260807            0.484926           0.564719             0.098931        0.391231        
pyramidalization_Agranat-Radhakrishnan_N1_TSRC_Boltz, P_int_N2_TSRC_Boltz, pyramidalization_Agranat-Radhakrishnan_C1_IntC_min, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.240435            0.485715           0.636120             0.040305        0.455510        
              pyramidalization_Gavrish_C4(°)_TSRC_max, Buried_Sterimol_L_N1_Ni_4.5(Å)_IntC_max, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.183979            0.486238           0.733296             0.450875        0.325763        
        pyramidalization_Agranat-Radhakrishnan_N1_TSRC_Boltz, dihedral_C4_N2_Ni_C1s(°)_IntC_Boltz, Buried_Sterimol_B5_C2_R1_4.5(Å)_TSRE_Boltz, Spin_Density_R1_TSRE_Boltz 1      0.233847            0.495450           0.674938             0.174653        0.501485        
                                                    SASA_sphericity_IntC_max, P_int_C5_IntC_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz, Spin_Density_Br_TSRE_Boltz 1      0.220956            0.513195           0.661157             0.273316        0.282788        
            pyramidalization_Gavrish_C4(°)_TSRC_max, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz, pyramidalization_Gavrish_N2(°)_TSRE_max, Hirsh_atom_dipole_C5_TSRE_Boltz 1      0.195870            0.547322           0.667467             0.392586        0.367833        
                                   Buried_Sterimol_L_N1_Ni_4.5(Å)_TSRC_max, pyramidalization_Gavrish_N2(°)_TSRC_max, P_int_C5_IntC_Boltz, Hirsh_atom_dipole_C5_TSRE_Boltz 1      0.212253            0.572925           0.638986             0.031569        0.510159        
                                               P_int_N2_TSRC_Boltz, dihedral_C4_N2_Ni_C1s(°)_IntC_Boltz, Spin_Density_X1_IntC_Boltz, Sterimol_L_C5_R2(Å)_morfeus_TSRE_max 1      0.236386            0.627856           0.669441             0.000648        0.439577        
                               Buried_Sterimol_B1_C5_R2_4.5(Å)_TSRC_Boltz, Buried_Sterimol_B5_N1_Ni_4.5(Å)_IntC_Boltz, Vbur_C2s_3.5noH_IntC_max, Vbur_C1s_3.5noH_TSRE_min 1      0.246128            0.640738           0.637460             0.001027        0.486715        
                                               Buried_Sterimol_L_N1_Ni_4.5(Å)_TSRC_max, pyramidalization_Gavrish_N2(°)_TSRC_max, P_int_Ni_TSRC_Boltz, P_int_C5_TSRE_Boltz 1      0.230729            0.938034           0.675629             0.007483        1.650354        

Outer-Fold Champion Models Sorted by OOS MAE:
Features                                                                                                                                                                   Count  Average Train RMSE  Average Test RMSE  Average Adjusted R²  Average OOS R²  Average OOS MAE
                                  P_int_N2_TSRC_Boltz, Buried_Sterimol_L_N1_Ni_4.5(Å)_IntC_max, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.239359            0.400360           0.580124             0.340034        0.271989        
                                                    SASA_sphericity_IntC_max, P_int_C5_IntC_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz, Spin_Density_Br_TSRE_Boltz 1      0.220956            0.513195           0.661157             0.273316        0.282788        
                     dihedral_N1_Ni_C2s_H1s(°)_TSRC_Boltz, dihedral_C4_N2_Ni_C1s(°)_IntC_Boltz, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.229263            0.405351           0.717682             0.526442        0.285954        
                                            P_int_N2_TSRC_Boltz, dihedral_C4_N2_Ni_C1s(°)_IntC_Boltz, distance_N1_Ni(Å)_TSRE_min, pyramidalization_Gavrish_N2(°)_TSRE_max 1      0.250945            0.480675           0.548491             0.055242        0.300730        
                                     pyramidalization_Gavrish_C4(°)_TSRC_max, Spin_Density_R2_TSRC_Boltz, P_int_N2_TSRC_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.251771            0.394759           0.598795             0.480604        0.308581        
              pyramidalization_Gavrish_C4(°)_TSRC_max, Buried_Sterimol_L_N1_Ni_4.5(Å)_IntC_max, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.183979            0.486238           0.733296             0.450875        0.325763        
                                  pyramidalization_Gavrish_C4(°)_TSRC_max, P_int_N2_TSRC_Boltz, distance_Ni_C2s(Å)_TSRE_Boltz, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz 1      0.240130            0.358937           0.655969             0.547713        0.357175        
            pyramidalization_Gavrish_C4(°)_TSRC_max, Buried_Sterimol_B1_N1_Ni_4.5(Å)_TSRE_Boltz, pyramidalization_Gavrish_N2(°)_TSRE_max, Hirsh_atom_dipole_C5_TSRE_Boltz 1      0.195870            0.547322           0.667467             0.392586        0.367833        
